# DEMO DATA - Sample dataset for demonstration purposes only
id,name,city,district,state,college_type,university,fees_per_year,avg_package_lpa,highest_package_lpa,accreditation,established_year,naac_grade,nba_accredited,total_seats
13,Shri Ramdeobaba College of Engineering and Management,Nagpur,Nagpur,Maharashtra,Autonomous,Rashtrasant Tukadoji Maharaj Nagpur University,150000,7.0,25.0,AICTE,1984,A+,Yes,900
14,Pimpri Chinchwad College of Engineering,Pune,Pune,Maharashtra,Private,Savitribai Phule Pune University,140000,6.5,24.0,AICTE,1999,A,Yes,700
15,Fr. Conceicao Rodrigues College of Engineering,Mumbai,Mumbai Suburban,Maharashtra,Private,Mumbai University,160000,6.0,20.0,AICTE,1984,A,Yes,450
16,Cummins College of Engineering for Women,Pune,Pune,Maharashtra,Autonomous,Savitribai Phule Pune University,160000,7.5,30.0,AICTE,1991,A,Yes,600
17,Vishwakarma Institute of Information Technology,Pune,Pune,Maharashtra,Autonomous,Savitribai Phule Pune University,150000,6.5,22.0,AICTE,1998,A,Yes,700
18,Yeshwantrao Chavan College of Engineering,Nagpur,Nagpur,Maharashtra,Autonomous,Rashtrasant Tukadoji Maharaj Nagpur University,140000,5.5,18.0,AICTE,1984,A,Yes,800
19,Thakur College of Engineering and Technology,Mumbai,Mumbai Suburban,Maharashtra,Autonomous,Mumbai University,150000,6.0,20.0,AICTE,2001,A,Yes,600
20,Rajiv Gandhi Institute of Technology,Mumbai,Mumbai Suburban,Maharashtra,Private,Mumbai University,130000,5.0,15.0,AICTE,1992,B+,No,500
21,Vidyalankar Institute of Technology,Mumbai,Mumbai City,Maharashtra,Private,Mumbai University,140000,5.5,18.0,AICTE,1999,A,Yes,600
22,MIT World Peace University,Pune,Pune,Maharashtra,Private,MIT-WPU,300000,8.0,40.0,AICTE,1983,A,Yes,1000
23,Symbiosis Institute of Technology,Pune,Pune,Maharashtra,Private,Symbiosis International University,250000,8.5,35.0,AICTE,2008,A,Yes,800
24,G. H. Raisoni College of Engineering,Nagpur,Nagpur,Maharashtra,Autonomous,Rashtrasant Tukadoji Maharaj Nagpur University,160000,5.0,15.0,AICTE,1998,A+,Yes,700
25,DKTE Society's Textile and Engineering Institute,Ichalkaranji,Kolhapur,Maharashtra,Autonomous,Shivaji University,120000,4.5,12.0,AICTE,1982,A+,Yes,600
26,Government College of Engineering Karad,Karad,Satara,Maharashtra,Government,Shivaji University,50000,5.5,18.0,AICTE,1960,A,Yes,400
27,Rajarambapu Institute of Technology,Islampur,Sangli,Maharashtra,Autonomous,Shivaji University,120000,5.0,15.0,AICTE,1983,A,Yes,500
28,K. K. Wagh Institute of Engineering Education & Research,Nashik,Nashik,Maharashtra,Autonomous,Savitribai Phule Pune University,130000,5.0,15.0,AICTE,1984,A,Yes,700
29,Sanjeevan Engineering and Technology Institute,Panhala,Kolhapur,Maharashtra,Private,Shivaji University,100000,4.0,10.0,AICTE,2009,B,No,400
30,Sanjivani Rural Education Society's College of Engineering,Kopargaon,Ahmednagar,Maharashtra,Autonomous,Savitribai Phule Pune University,120000,4.5,12.0,AICTE,1983,A,Yes,500
31,Government College of Engineering Jalgaon,Jalgaon,Jalgaon,Maharashtra,Government,Kavayitri Bahinabai Chaudhari North Maharashtra University,45000,4.5,12.0,AICTE,1996,B+,Yes,350
32,Government College of Engineering Nagpur,Nagpur,Nagpur,Maharashtra,Government,Rashtrasant Tukadoji Maharaj Nagpur University,50000,6.0,20.0,AICTE,2016,B,No,350
33,Government College of Engineering Chandrapur,Chandrapur,Chandrapur,Maharashtra,Government,Gondwana University,45000,4.0,10.0,AICTE,1996,B,No,350
34,Usha Mittal Institute of Technology,Mumbai,Mumbai Suburban,Maharashtra,University Department,SNDT Women's University,90000,5.0,15.0,AICTE,1997,A,Yes,400
35,Institute of Chemical Technology,Mumbai,Mumbai City,Maharashtra,Autonomous,Institute of Chemical Technology,85000,10.0,40.0,AICTE,1933,A++,Yes,300
